2025-04-23-11-22-09.822189,J0,J1,J2,J4,J5
2025-04-23-11-24-37.643529,1438,1774,1270,2281,1666
2025-04-23-11-26-48.761422,3163,3941,2850,3485,3723
2025-04-23-11-28-57.521268,4667,6017,4094,4607,5802
2025-04-23-11-30-56.149339,6527,8158,4947,5737,8076
2025-04-23-11-33-01.154854,8205,9925,5724,6582,10015
2025-04-23-11-34-59.092339,9774,11627,6821,7368,11856
2025-04-23-11-36-59.745775,11761,13365,8428,8362,14120
2025-04-23-11-39-02.133397,13456,15171,10156,9885,16105
2025-04-23-11-41-02.560898,15219,17069,12014,11871,18197
2025-04-23-11-43-04.177914,16890,18806,13769,13765,20118
2025-04-23-11-45-05.041922,18849,20872,15794,15989,22407
2025-04-23-11-47-20.443062,20750,22863,17659,18143,24579
2025-04-23-11-49-17.709595,22380,24443,19323,20021,26444
2025-04-23-11-51-18.533786,24129,26262,21189,22034,28520
2025-04-23-11-53-19.178005,25678,27902,22772,23832,30319
2025-04-23-11-55-19.876942,27474,29765,24635,25720,32426
2025-04-23-11-57-19.988285,29252,31519,26290,26495,34506
2025-04-23-11-59-20.512273,31146,33509,28274,27556,36767
2025-04-23-12-01-20.562132,32994,35442,29852,29141,38944
2025-04-23-12-03-21.037476,34898,37306,31306,31162,41143
2025-04-23-12-05-21.493283,36470,38929,32610,32878,42990
2025-04-23-12-07-23.874374,38412,40733,34635,34545,45310
2025-04-23-12-09-23.679217,40147,41632,36198,36450,47324
2025-04-23-12-11-24.442822,42014,43567,37651,38510,49463
2025-04-23-12-13-25.075324,43730,45353,39303,40459,51486
2025-04-23-12-15-25.598821,45490,47221,41191,42417,53566
2025-04-23-12-17-26.125077,47331,49124,42995,43605,55689
2025-04-23-12-19-26.211047,49151,51083,44965,45609,57874
2025-04-23-12-21-26.700627,50885,52954,46833,47477,59987
2025-04-23-12-23-27.313487,52789,54940,48814,49105,62225
2025-04-23-12-25-27.610082,54323,56579,50422,50739,64017
2025-04-23-12-27-27.911514,56176,58570,52371,51669,66193
2025-04-23-12-29-28.525071,57891,60440,54239,51669,68215
