2025-04-23-11-22-09.822189,J0,J1,J2,J4,J5
2025-04-23-11-24-37.610960,1437,1776,1270,2283,1669
2025-04-23-11-26-48.738361,3164,3752,2852,3925,3731
2025-04-23-11-28-57.052628,3952,3954,3833,3876,3972
2025-04-23-11-30-56.118096,3767,3754,3751,3756,3761
2025-04-23-11-33-01.082300,3854,3838,3773,3804,3861
2025-04-23-11-34-59.029852,3766,3756,3751,3758,3760
2025-04-23-11-36-59.714534,3764,3753,3752,3755,3758
2025-04-23-11-39-01.852213,3790,3776,3772,3791,3790
2025-04-23-11-41-02.545278,3780,3756,3752,3777,3763
2025-04-23-11-43-04.099806,3784,3758,3756,3777,3770
2025-04-23-11-45-04.746195,3767,3760,3755,3768,3764
2025-04-23-11-47-20.183445,4189,4089,4046,4214,4204
2025-04-23-11-49-17.693974,3766,3754,3751,3763,3759
2025-04-23-11-51-18.502543,3766,3756,3752,3765,3760
2025-04-23-11-53-19.162384,3767,3754,3752,3759,3759
2025-04-23-11-55-19.845699,3767,3755,3751,3756,3759
2025-04-23-11-57-19.972664,3759,3755,3750,3754,3757
2025-04-23-11-59-20.496653,3762,3757,3750,3759,3757
2025-04-23-12-01-20.546511,3764,3753,3751,3758,3758
2025-04-23-12-03-21.021854,3765,3752,3751,3760,3756
2025-04-23-12-05-21.462041,3766,3756,3751,3762,3759
2025-04-23-12-07-23.811878,3804,3760,3762,3806,3777
2025-04-23-12-09-23.647973,3763,3754,3752,3760,3756
2025-04-23-12-11-24.427201,3764,3759,3752,3764,3758
2025-04-23-12-13-25.044081,3761,3752,3750,3764,3759
2025-04-23-12-15-25.583199,3759,3753,3751,3757,3758
2025-04-23-12-17-26.109455,3768,3755,3751,3760,3759
2025-04-23-12-19-26.195424,3761,3753,3752,3760,3760
2025-04-23-12-21-26.669385,3763,3757,3751,3760,3760
2025-04-23-12-23-27.266624,3767,3758,3753,3762,3759
2025-04-23-12-25-27.578839,3766,3757,3751,3762,3759
2025-04-23-12-27-27.880272,3764,3756,3751,3750,3764
2025-04-23-12-29-28.493828,3762,3754,3751,3750,3758
