2025-04-23-11-22-09.822189,J0,J1,J2,J4,J5
2025-04-23-11-24-37.582550,0,0,0,0,0
2025-04-23-11-26-48.716163,0,4,0,1168,0
2025-04-23-11-28-56.724580,132,408,8,1572,384
2025-04-23-11-30-56.086853,224,500,100,1664,476
2025-04-23-11-33-01.038346,468,744,344,1908,720
2025-04-23-11-34-58.998609,700,976,576,2140,952
2025-04-23-11-36-59.698911,1188,1464,1064,2628,1440
2025-04-23-11-39-01.444312,1664,1940,1540,3104,1916
2025-04-23-11-41-02.434675,2168,2444,2044,3608,2420
2025-04-23-11-43-04.068565,2668,2944,2544,4108,2920
2025-04-23-11-45-04.711058,2976,3252,2852,4416,3228
2025-04-23-11-47-19.532453,3204,3480,3080,4644,3456
2025-04-23-11-49-17.662732,3416,3692,3292,4856,3668
2025-04-23-11-51-18.486922,3952,4228,3828,5392,4204
2025-04-23-11-53-19.131144,4520,4796,4396,5960,4772
2025-04-23-11-55-19.814457,5044,5320,4920,6484,5296
2025-04-23-11-57-19.941423,5576,5852,5452,7016,5828
2025-04-23-11-59-20.465409,6172,6448,6048,7612,6424
2025-04-23-12-01-20.515268,6700,6976,6576,8140,6952
2025-04-23-12-03-20.990613,7276,7552,7152,8716,7528
2025-04-23-12-05-21.430797,7848,8124,7724,9288,8100
2025-04-23-12-07-23.655664,8404,8680,8280,9844,8656
2025-04-23-12-09-23.632354,8924,9200,8800,10364,9176
2025-04-23-12-11-24.395959,9500,9776,9376,10940,9752
2025-04-23-12-13-25.028460,10068,10344,9944,11508,10320
2025-04-23-12-15-25.567578,10620,10896,10496,12060,10872
2025-04-23-12-17-26.078213,11192,11468,11068,12632,11444
2025-04-23-12-19-26.164182,11732,12008,11608,13172,11984
2025-04-23-12-21-26.638142,12296,12572,12172,13736,12548
2025-04-23-12-23-27.235382,12836,13112,12712,14276,13088
2025-04-23-12-25-27.563217,13304,13580,13180,14744,13556
2025-04-23-12-27-27.864650,13984,14260,13860,15000,14236
2025-04-23-12-29-28.478206,14640,14916,14516,15000,14892
